record_type,backlog_priority,backlog_bucket,vc_signal_strength,vc_signal_reason,strict_drop_reason,research_recommendation,source_filing_count,firm_name,name,contact_name,contact_title,all_contacts,manager_status_code,manager_status,fund_stage,filer_status,year_inc,fund_size,amount_sold,filing_date,issues,city,state,sec_number,filing_url,linkedin_search_url,linkedin_company_search_url,website_search_url
vc_firm_candidate,1,explicit_vc_candidate,explicit_sec_vc,SEC Form D category: Venture Capital Fund,SEC Form D category: Venture Capital Fund,"Verify the operating firm, manager history, decision-maker, LinkedIn presence, and website.",1,Relational Capital I,"Relational Capital I, LP","n/a Relational Capital I GP, LLC",Promoter,"n/a Relational Capital I GP, LLC (Promoter); Maria Davidson (Director, Promoter)",likely_new,Likely new firm,Emerging Fund,first_filer,2026,$0,$0,2026-08-20,Pooled Investment Fund - Venture Capital Fund,SAN FRANCISCO,CA,0002147675-26-000001,https://www.sec.gov/Archives/edgar/data/2147675/000214767526000001/0002147675-26-000001-index.htm,https://www.linkedin.com/search/results/people/?keywords=n%2Fa+Relational+Capital+I+GP%2C+LLC+Relational+Capital+I,https://www.linkedin.com/search/results/companies/?keywords=Relational+Capital+I,https://www.google.com/search?q=%22Relational+Capital+I%22+venture+capital
vc_firm_candidate,1,explicit_vc_candidate,explicit_sec_vc,SEC Form D category: Venture Capital Fund,SEC Form D category: Venture Capital Fund,"Verify the operating firm, manager history, decision-maker, LinkedIn presence, and website.",1,WYO VC Frontier,WYO VC Frontier Fund I LP,WYO VC Fund I LLC,Executive Officer,WYO VC Fund I LLC (Executive Officer); John D. Temte (Executive Officer),likely_new,Likely new firm,Fund I,first_filer,2025,$40M,$3M,2026-08-18,Pooled Investment Fund - Venture Capital Fund,CODY,WY,0002149523-26-000001,https://www.sec.gov/Archives/edgar/data/2149523/000214952326000001/0002149523-26-000001-index.htm,https://www.linkedin.com/search/results/people/?keywords=WYO+VC+Fund+I+LLC+WYO+VC+Frontier,https://www.linkedin.com/search/results/companies/?keywords=WYO+VC+Frontier,https://www.google.com/search?q=%22WYO+VC+Frontier%22+venture+capital
vc_firm_candidate,1,explicit_vc_candidate,explicit_sec_vc,SEC Form D category: Venture Capital Fund,SEC Form D category: Venture Capital Fund,"Verify the operating firm, manager history, decision-maker, LinkedIn presence, and website.",1,NeXeption Capital,"NeXeption Capital Fund I, L.P.",Stephen Tullman,"Executive Officer, Promoter","Stephen Tullman (Executive Officer, Promoter); N/A NXC Fund I GP, LLC (Promoter); Jeff Himawan (Executive Officer, Promoter); Alexander Tullman (Executive Officer, Promoter)",likely_new,Likely new firm,Fund I,first_filer,2026,$25M,$13M,2026-08-17,Pooled Investment Fund - Venture Capital Fund,CHESTER SPRINGS,PA,0002146458-26-000001,https://www.sec.gov/Archives/edgar/data/2146458/000214645826000001/0002146458-26-000001-index.htm,https://www.linkedin.com/search/results/people/?keywords=Stephen+Tullman+NeXeption+Capital,https://www.linkedin.com/search/results/companies/?keywords=NeXeption+Capital,https://www.google.com/search?q=%22NeXeption+Capital%22+venture+capital
vc_firm_candidate,1,explicit_vc_candidate,explicit_sec_vc,SEC Form D category: Venture Capital Fund,SEC Form D category: Venture Capital Fund,"Verify the operating firm, manager history, decision-maker, LinkedIn presence, and website.",1,Anomaly Ventures,Anomaly Ventures Fund I LP,N/A Anomaly Ventures GP I LLC,Executive Officer,N/A Anomaly Ventures GP I LLC (Executive Officer); Vasudev Bailey (Executive Officer),likely_new,Likely new firm,Fund I,first_filer,2026,$50M,$0,2026-08-13,Pooled Investment Fund - Venture Capital Fund,SAN FRANCISCO,CA,0002146415-26-000001,https://www.sec.gov/Archives/edgar/data/2146415/000214641526000001/0002146415-26-000001-index.htm,https://www.linkedin.com/search/results/people/?keywords=N%2FA+Anomaly+Ventures+GP+I+LLC+Anomaly+Ventures,https://www.linkedin.com/search/results/companies/?keywords=Anomaly+Ventures,https://www.google.com/search?q=%22Anomaly+Ventures%22+venture+capital
vc_firm_candidate,1,explicit_vc_candidate,explicit_sec_vc,SEC Form D category: Venture Capital Fund,SEC Form D category: Venture Capital Fund,"Verify the operating firm, manager history, decision-maker, LinkedIn presence, and website.",1,AV AI Fund,AV AI Fund LP,Carmen Feliciano,"Executive Officer, Promoter","Carmen Feliciano (Executive Officer, Promoter); Mudit Dawar (Executive Officer, Promoter); n/a Access Ventures Capital Management LLC (Promoter)",likely_new,Likely new firm,Emerging Fund,first_filer,2026,$22M,$22M,2026-08-10,Pooled Investment Fund - Venture Capital Fund,NEW YORK,NY,0002137991-26-000001,https://www.sec.gov/Archives/edgar/data/2137991/000213799126000001/0002137991-26-000001-index.htm,https://www.linkedin.com/search/results/people/?keywords=Carmen+Feliciano+AV+AI+Fund,https://www.linkedin.com/search/results/companies/?keywords=AV+AI+Fund,https://www.google.com/search?q=%22AV+AI+Fund%22+venture+capital
vc_firm_candidate,1,explicit_vc_candidate,explicit_sec_vc,SEC Form D category: Venture Capital Fund,SEC Form D category: Venture Capital Fund,"Verify the operating firm, manager history, decision-maker, LinkedIn presence, and website.",1,1616 Ventures,"1616 Ventures Fund I, L.P.","N/A 1616 Ventures Fund I GP, LLC",Executive Officer,"N/A 1616 Ventures Fund I GP, LLC (Executive Officer); Lisa Dolan (Executive Officer)",likely_new,Likely new firm,Fund I,first_filer,2026,$150M,$0,2026-08-07,Pooled Investment Fund - Venture Capital Fund,NASHVILLE,TN,0002128635-26-000001,https://www.sec.gov/Archives/edgar/data/2128635/000212863526000001/0002128635-26-000001-index.htm,https://www.linkedin.com/search/results/people/?keywords=N%2FA+1616+Ventures+Fund+I+GP%2C+LLC+1616+Ventures,https://www.linkedin.com/search/results/companies/?keywords=1616+Ventures,https://www.google.com/search?q=%221616+Ventures%22+venture+capital
vc_firm_candidate,1,explicit_vc_candidate,explicit_sec_vc,SEC Form D category: Venture Capital Fund,SEC Form D category: Venture Capital Fund,"Verify the operating firm, manager history, decision-maker, LinkedIn presence, and website.",1,Advanceo AltData,Advanceo AltData Fund I LP,N/A ADVANCEO ALTDATA I GP LLC,Director,N/A ADVANCEO ALTDATA I GP LLC (Director); Timothy Baskerville (Executive Officer),needs_review,Needs review,Fund I,first_filer,2026,$2M,$1M,2026-08-07,Pooled Investment Fund - Venture Capital Fund,RANCHO MISSION VIEJO,CA,0002146691-26-000001,https://www.sec.gov/Archives/edgar/data/2146691/000214669126000001/0002146691-26-000001-index.htm,https://www.linkedin.com/search/results/people/?keywords=N%2FA+ADVANCEO+ALTDATA+I+GP+LLC+Advanceo+AltData,https://www.linkedin.com/search/results/companies/?keywords=Advanceo+AltData,https://www.google.com/search?q=%22Advanceo+AltData%22+venture+capital
vc_firm_candidate,1,explicit_vc_candidate,explicit_sec_vc,SEC Form D category: Venture Capital Fund,SEC Form D category: Venture Capital Fund,"Verify the operating firm, manager history, decision-maker, LinkedIn presence, and website.",1,Rice One Giant Leap,"Rice One Giant Leap Fund I, LP","N/A Rice One Giant Leap GP I, LLC",Executive Officer,"N/A Rice One Giant Leap GP I, LLC (Executive Officer); Adrian Tromel (Executive Officer)",likely_new,Likely new firm,Fund I,first_filer,2026,$0,$0,2026-07-31,Pooled Investment Fund - Venture Capital Fund,Houston,TX,0001123292-26-001030,https://www.sec.gov/Archives/edgar/data/2145590/000112329226001030/0001123292-26-001030-index.htm,https://www.linkedin.com/search/results/people/?keywords=N%2FA+Rice+One+Giant+Leap+GP+I%2C+LLC+Rice+One+Giant+Leap,https://www.linkedin.com/search/results/companies/?keywords=Rice+One+Giant+Leap,https://www.google.com/search?q=%22Rice+One+Giant+Leap%22+venture+capital
vc_firm_candidate,1,vc_name_signal_review,vc_name_signal,VC term in issuer or operating-firm candidate; confirmation required,VC term in issuer or operating-firm candidate; confirmation required,Confirm this is an operating VC firm before researching its decision-maker and public presence.,1,Ardenwood Ventures,Ardenwood Ventures LLC Fund 1,Flora Dong,Director,Flora Dong (Director),likely_new,Likely new firm,Fund I,first_filer,2026,$5M,$5M,2026-07-31,Investing - Unknown,PALO ALTO,CA,0002148351-26-000001,https://www.sec.gov/Archives/edgar/data/2148351/000214835126000001/0002148351-26-000001-index.htm,https://www.linkedin.com/search/results/people/?keywords=Flora+Dong+Ardenwood+Ventures,https://www.linkedin.com/search/results/companies/?keywords=Ardenwood+Ventures,https://www.google.com/search?q=%22Ardenwood+Ventures%22+venture+capital
vc_firm_candidate,1,explicit_vc_candidate,explicit_sec_vc,SEC Form D category: Venture Capital Fund,SEC Form D category: Venture Capital Fund,"Verify the operating firm, manager history, decision-maker, LinkedIn presence, and website.",1,SemiAnalysis Capital,"SemiAnalysis Capital Fund I, LP","N/A SemiAnalysis Capital Fund I GP, LLC",Director,"N/A SemiAnalysis Capital Fund I GP, LLC (Director); Dylan Patel (Director)",likely_new,Likely new firm,Fund I,first_filer,2026,$400M,$0,2026-07-29,Pooled Investment Fund - Venture Capital Fund,Crawfordville,FL,0000905148-26-003383,https://www.sec.gov/Archives/edgar/data/2145695/000090514826003383/0000905148-26-003383-index.htm,https://www.linkedin.com/search/results/people/?keywords=N%2FA+SemiAnalysis+Capital+Fund+I+GP%2C+LLC+SemiAnalysis+Capital,https://www.linkedin.com/search/results/companies/?keywords=SemiAnalysis+Capital,https://www.google.com/search?q=%22SemiAnalysis+Capital%22+venture+capital
